# CLDR emoji suggestions — REVIEW BEFORE USE, never auto-apply.
# Keep a line by adding  "<lemma>": "<emoji>"  to a JSON map for gloss3.py --emoji-map.
# Empty beats bad: when in doubt, leave the lemma out.
abgraben	abgraben = dig off	🪏 (en:dig)
feldmarschall	Feldmarschall = Field Marshal, General of the Army	🏑 (en:field)  🪖 (en:army)
fertigbringen	fertigbringen = accomplish sth., manage sth., carry off sth.	🤹 (en:manage)  🤹‍♂ (en:manage)  🤹‍♀ (en:manage)
fischtran	Fischtran = train oil	🚆 (en:train)  🚂 (en:train)  🚃 (en:train)
flickwerk	Flickwerk = patch-up job	👏 (en:job)  🏢 (en:job)
fortfahren	fortfahren = keep	🤐 (en:keep)  💯 (en:keep)
fortgang	Fortgang = sb.'s going-away, leaving, departure	🛫 (en:departure)
forttragen	forttragen = bear away	🐻 (en:bear)  🐻‍❄ (en:bear)  🐨 (en:bear)
freudenschrei	Freudenschrei = cry of joy, shout of joy, cry/shriek of delight	🥹 (en:cry)  😢 (en:cry)  😭 (en:cry)
freudestrahlend	freudestrahlend = radiant with joy	🤣 (en:joy)  😂 (en:joy)  🥲 (en:joy)
frieren	frieren = be cold	🥶 (de:frieren)
funkeln	funkeln = sparkle	❇ (de:funkeln)  💖 (de:funkeln)  🌟 (de:funkeln)
fußweg	Fußweg = pedestrian walkway, footway	🚶 (en:pedestrian)  🚶‍♂ (en:pedestrian)  🚶‍♀ (en:pedestrian)
fächeln	fächeln = fan	🪭 (en:fan)
fünfer	Fünfer = five	✋ (en:five)  🫷 (en:five)  🫸 (en:five)
gabeln	Gabeln = table forks, forks	🏓 (en:table)
geahnt	geahnt = had an idea	💭 (en:idea)  💡 (en:idea)
gebetet	gebetet = prayed	👏 (en:prayed)
gebeugt	gebeugt = bent	🦵 (en:bent)  🧢 (en:bent)
geblasen	geblasen = blown	🤯 (en:blown)
gefaltet	gefaltet = crinkled	🙏 (de:gefaltet)
gefäß	Gefäß = receptacle	🏺 (de:gefäß)
geheimnisvoll	geheimnisvoll = mysterious	👤 (en:mysterious)
geleise	Geleise = line of rails, railway line, railroad line	🫥 (en:line)
geleiten	geleiten = march sb. to a place	🥇 (en:place)  🥈 (en:place)  🥉 (en:place)
genick	Genick = nape, nucha, back/nape of the neck	🧣 (en:neck)
geplauder	Geplauder = small talk, chitchat, causerie	🤪 (en:small)  🤏 (en:small)  🦐 (en:small)
gereizt	gereizt = irritated, tetchy, crotchety	🙍 (en:irritated)  🙍‍♂ (en:irritated)  🙍‍♀ (en:irritated)
gestrüpp	Gestrüpp = brushwood, brush	🪥 (en:brush)
gliedern	gliedern = order	🦁 (en:order)
glitzern	Glitzern = sparkle	💖 (de:glitzern)  🌟 (de:glitzern)  ❇ (en:sparkle)
glühen	glühen = glow	🌟 (en:glow)
goldig	goldig = adorable, delightful, lovely	🩷 (en:adorable)
goldröschen	Goldröschen = Japanese rose, Japanese globeflower, globeflower	🌹 (en:rose)
halblaut	halblaut = low, quiet	🔈 (en:low)  🪫 (en:low)  🔅 (en:low)
hauptpunkt	Hauptpunkt = main point, key point, main issue	💯 (en:point)  👈 (en:point)  👉 (en:point)
heimkehr	Heimkehr = home coming, homecoming, return home	🪹 (en:home)  🛖 (en:home)  🏚 (en:home)
heimkehren	heimkehren = return, return home	🪹 (en:home)  🛖 (en:home)  🏚 (en:home)
heimkommen	heimkommen = come home	🫴 (en:come)  🪹 (en:home)  🛖 (en:home)
heranrücken	heranrücken = move up, move closer	🏃 (en:move)  🏃‍♂ (en:move)  🏃‍♀ (en:move)
heraufkommen	heraufkommen = come up	🫴 (en:come)
heraufsteigen	heraufsteigen = climb up	🧗 (en:climb)  🧗‍♂ (en:climb)  🧗‍♀ (en:climb)
herausbringen	herausbringen = launch sth., roll out sth.	🚀 (en:launch)  🥐 (en:roll)  🧻 (en:roll)
herauskommen	herauskommen = come out	🫴 (en:come)
herausspringen	herausspringen = jump out, leap out	🦘 (en:jump)
heraustreten	heraustreten = come out, step out	🫴 (en:come)  🪜 (en:step)
herauswachsen	herauswachsen = grow out	🪴 (en:grow)
herbeiholen	herbeiholen = fetch sb./sth.	💁 (en:fetch)  💁‍♂ (en:fetch)  💁‍♀ (en:fetch)
herrenhaus	Herrenhaus = manor house, manor	🏠 (en:house)  🪴 (en:house)  🛖 (en:house)
herrensitz	Herrensitz = stately home	🪹 (en:home)  🛖 (en:home)  🏚 (en:home)
herrichten	herrichten = ready sth. for sth.	🛄 (en:ready)
herumgehen	herumgehen = perambulate a place	🥇 (en:place)  🥈 (en:place)  🥉 (en:place)
herumrennen	herumrennen = run about, run around	🏃 (en:run)  🏃‍♂ (en:run)  🏃‍♀ (en:run)
heruntergeholt	heruntergeholt = shot down, brought down, downed	🥃 (en:shot)  💉 (en:shot)
heruntergezogen	heruntergezogen = pulled down	👮 (en:pulled)  👮‍♂ (en:pulled)  👮‍♀ (en:pulled)
heutig	heutig = present-day, modern-day, of the present day	🎁 (en:present)  🧖 (en:day)  🧖‍♂ (en:day)
hierherkommen	hierherkommen = come here, approach, come	🫴 (en:come)  🙋 (en:here)  🙋‍♂ (en:here)
himmelblau	himmelblau = sky blue, azure	🩵 (en:sky)
hinauffahren	hinauffahren = drive up	🚐 (en:drive)  🚕 (en:drive)  🚙 (en:drive)
hinaufführen	hinaufführen = lead up, ascend	🪽 (en:ascend)  🐦‍🔥 (en:ascend)
hinaufgehen	hinaufgehen = go up, go uphill, walk up	🚶 (en:walk)  🚶‍♂ (en:walk)  🚶‍♀ (en:walk)
hinaufschauen	hinaufschauen = look up	👀 (en:look)
hinaufsteigen	hinaufsteigen = go up, go uphill, walk up	🚶 (en:walk)  🚶‍♂ (en:walk)  🚶‍♀ (en:walk)
hinauslaufen	hinauslaufen = run out	🏃 (en:run)  🏃‍♂ (en:run)  🏃‍♀ (en:run)
hinausspringen	hinausspringen = jump out	🦘 (en:jump)
hinken	hinken = limp, walk with a limp	🚶 (en:walk)  🚶‍♂ (en:walk)  🚶‍♀ (en:walk)
hinsehen	hinsehen = look	👀 (en:look)
hinuntereilen	hinuntereilen = hurry downstairs	🏃 (en:hurry)  🏃‍♂ (en:hurry)  🏃‍♀ (en:hurry)
hinuntergehen	hinuntergehen = walk down	🚶 (en:walk)  🚶‍♂ (en:walk)  🚶‍♀ (en:walk)
hinuntergerollt	hinuntergerollt = rolled down	🗞 (en:rolled)
hinzutreten	hinzutreten = appear, come	🫴 (en:come)
holzbrett	Holzbrett = wooden board, plank	🛹 (en:board)  🎬 (en:board)
hüpfen	hüpfen = frisk, sport	🦘 (de:hüpfen)
kartoffelsack	Kartoffelsack = potato sack	🥔 (en:potato)  🍠 (en:potato)
kelch	Kelch = calyx, cup, bell	🍵 (en:cup)  🍶 (en:cup)  🥤 (en:cup)
klemmen	klemmen = pin	📌 (en:pin)  📍 (en:pin)  🧷 (en:pin)
kluft	Kluft = garms, gear, things	⚙ (en:gear)
knurren	knurren = growl, snarl	🐻 (en:growl)
kopfüber	kopfüber = pitch pole	🤾 (en:pitch)  🤾‍♂ (en:pitch)  🤾‍♀ (en:pitch)
krankenpflege	Krankenpflege = health care, nursing, nursing care	🧑‍⚕ (en:health)  👨‍⚕ (en:health)  👩‍⚕ (en:health)
krächzen	krächzen = say/utter hoarsely, croak, grate	🐦‍⬛ (de:krächzen)
kühlung	Kühlung = cooling, chilling	🪭 (en:cooling)  😎 (en:chilling)
lebenslustig	lebenslustig = in love with life	🪼 (en:life)  🛟 (en:life)  🧬 (en:life)
leidend	leidend = ailing	😧 (de:leidend)
leintuch	Leintuch = bed sheet, sheet	🛏 (en:bed)  😴 (en:bed)  🛌 (en:bed)
lesebuch	Lesebuch = reading book, reader	📖 (en:reading)  📗 (en:reading)  📘 (en:reading)
losstürzen	losstürzen = start running, run at	💨 (en:running)  🎽 (en:running)  👟 (en:running)
löchern	löchern = pick sb.'s brain	⛏ (en:pick)  🫳 (en:pick)  🙋 (en:pick)
mahl	Mahl = dinner	🐟 (en:dinner)  🍽 (en:dinner)  🍴 (en:dinner)
mitkommen	mitkommen = tag along	🏷 (en:tag)
mittagstisch	Mittagstisch = lunch	🍴 (en:lunch)
morgenluft	Morgenluft = morning air, morning breeze	💖 (en:morning)  ☕ (en:morning)  🌄 (en:morning)
morgensonne	Morgensonne = morning sun	💖 (en:morning)  ☕ (en:morning)  🌄 (en:morning)
morgenstunde	Morgenstunde = morning hour	💖 (en:morning)  ☕ (en:morning)  🌄 (en:morning)
mundwinkel	Mundwinkel = corner of one's mouth	😏 (de:mundwinkel)
mäuschenstill	mäuschenstill = quiet as a mouse/lamb, dead quiet	🫢 (en:quiet)  🤫 (en:quiet)  🤐 (en:quiet)
mücke	Mücke = gnat, skeeter	🦟 (de:mücke)  🪰 (de:mücke)
nachschauen	nachschauen = look up	👀 (en:look)
nachtessen	Nachtessen = supper, evening meal	🌆 (en:evening)
nachtgebet	Nachtgebet = evening prayer, bedtime prayer	🌆 (en:evening)  🤲 (en:prayer)  📿 (en:prayer)
nagelneu	nagelneu = brand-new, brand-spanking new	🗽 (en:new)  🌑 (en:new)  🌚 (en:new)
nebenher	nebenher = as a secondary occupation, as a sideline, on the side	🍳 (en:side)
nicken	nicken = nod	🙂‍↕ (de:nicken)
niederfallen	niederfallen = fall down	🍂 (en:fall)
niedergehen	niedergehen = come down	🫴 (en:come)
niederlegen	niederlegen = ground	⛱ (en:ground)
obenauf	obenauf = on the top, on top, atop	🎩 (en:top)  🔝 (en:top)
offenstehen	offenstehen = stand open	🧍 (en:stand)  🧍‍♂ (en:stand)  🧍‍♀ (en:stand)
peterli	Peterli = garden parsley, parsley	🐌 (en:garden)  🐛 (en:garden)  🐜 (en:garden)
pfarrhaus	Pfarrhaus = parish house, clergy house, priest's house	🏠 (en:house)  🪴 (en:house)  🛖 (en:house)
pfiff	Pfiff = whistle	😮‍💨 (en:whistle)
polstern	polstern = pad	🗒 (en:pad)  🗓 (en:pad)
postamt	Postamt = post office PO, /pˈoː/	🏣 (en:post)  🏤 (en:post)  📯 (en:post)
pressiert	pressiert = hurried, rushed	😰 (en:rushed)
puff	Puff = brothel, bordello, house of ill repute	🏠 (en:house)  🪴 (en:house)  🛖 (en:house)
purzelbaum	Purzelbaum = somersault, summersault, somerset	🤸 (en:somersault)  🤸‍♂ (en:somersault)  🤸‍♀ (en:somersault)
rappeln	rappeln = rattle	🪇 (en:rattle)
raubvogel	Raubvogel = raptor, bird of prey, predator bird	🦉 (de:raubvogel)  🐯 (en:predator)  🐅 (en:predator)
rauchwolke	Rauchwolke = plume of smoke, wreath of smoke	😮‍💨 (en:smoke)  💨 (en:smoke)  🚫 (en:smoke)
reff	Reff = external frame pack, load carrying frame, carrying frame	🖼 (en:frame)  🪟 (en:frame)
reisefertig	reisefertig = ready to leave, ready to go	🛄 (en:ready)
rücklings	rücklings = from behind, backwards	⛅ (en:behind)  🌤 (en:behind)  🌥 (en:behind)
rückreise	Rückreise = travel back, journey back, journey home	🥹 (en:back)  🤚 (en:back)  🚪 (en:back)
rührung	Rührung = emotion	🥹 (de:rührung)
rüsten	rüsten = raise a scaffolding, scaffold, stage	🙋 (en:raise)  🙋‍♂ (en:raise)  🙋‍♀ (en:raise)
sauerampfer	Sauerampfer = common sorrel, garden sorrel, sorrel	🐌 (en:garden)  🐛 (en:garden)  🐜 (en:garden)
sausen	sausen = flash, hurtle	📸 (en:flash)
schar	Schar = band	🪈 (en:band)
schellen	schellen = ring the bell	💍 (en:ring)  🤼 (en:ring)  🤼‍♂ (en:ring)
schlafend	schlafend = sleeping, kipping	😪 (en:sleeping)  😴 (en:sleeping)  💤 (en:sleeping)
schlecken	schlecken = lick	👅 (en:lick)
schluchzen	Schluchzen = sob	😭 (de:schluchzen)
schlängeln	schlängeln = wind	🍃 (en:wind)  🌬 (en:wind)  🎐 (en:wind)
schmiegen	Schmiegen = folding carpenter's rulers, folding rulers, folding rules	🪭 (en:folding)
schneedecke	Schneedecke = snow cover, covering of snow, shroud of snow	📔 (en:cover)
schneefeld	Schneefeld = snow field, snowfield	🏑 (en:field)
schneien	schneien = snow	❄ (de:schneien)
schopf	Schopf = utility shed, garden shed, shed	🚙 (en:utility)  🐌 (en:garden)  🐛 (en:garden)
schreckhaft	schreckhaft = nervous, easily agitated, easily alarmed	😅 (en:nervous)  😟 (en:nervous)  😰 (en:nervous)
schulsachen	Schulsachen = school things, school stuff	🏫 (en:school)  🚌 (en:school)  🎒 (en:school)
schulschluss	Schulschluss = end of school	🔚 (en:end)  🏫 (en:school)  🚌 (en:school)
schweigend	schweigend = hushed	😯 (en:hushed)
schwellen	schwellen = swell	🏄 (en:swell)  🏄‍♂ (en:swell)  🏄‍♀ (en:swell)
schwindelig	schwindelig = dizzy, giddy	🥴 (de:schwindelig)  😵 (de:schwindelig)  😵‍💫 (de:schwindelig)
schwirren	schwirren = ping	🏓 (en:ping)
seufzen	seufzen = sigh	😮‍💨 (de:seufzen)
sonnig	sonnig = sunny, sunshiny, shiny	☀ (de:sonnig)  🍳 (en:sunny)  🌞 (en:sunny)
spazierengehen	spazierengehen = walk	🚶 (en:walk)  🚶‍♂ (en:walk)  🚶‍♀ (en:walk)
speisesaal	Speisesaal = dining hall, dining room, lunchroom	🧖 (en:room)  🧖‍♂ (en:room)  🧖‍♀ (en:room)
spinnrad	Spinnrad = spinning wheel	🚲 (en:spinning)  🛞 (en:wheel)  🎡 (en:wheel)
stampfen	stampfen = plod	🦶 (de:stampfen)
steinplatte	Steinplatte = precut paving stone, natural stone slab, natural stone flag	🪨 (en:stone)  🥌 (en:stone)  💎 (en:stone)
sternenhimmel	Sternenhimmel = starry sky	🌃 (de:sternenhimmel)  🩵 (en:sky)
stillschweigen	Stillschweigen = silence	😶 (en:silence)
stillstehen	stillstehen = stand idle, be idle	🧍 (en:stand)  🧍‍♂ (en:stand)  🧍‍♀ (en:stand)
strahlend	strahlend = lustrous	🧒 (de:strahlend)  👦 (de:strahlend)  👧 (de:strahlend)
strauch	Strauch = bush, shrub	🪻 (en:shrub)
streu	Streu = litter	🚮 (en:litter)  🚯 (en:litter)
stutz	Stutz = loot, dough, gelt	🪎 (en:loot)
stöhnen	stöhnen = moan, groan	😮‍💨 (en:groan)
störrisch	störrisch = ornery	🫏 (de:störrisch)
säge	Säge = saw	🪚 (de:säge)
säuseln	säuseln = whisper	😮‍💨 (en:whisper)
tafelmusik	Tafelmusik = table music	🏓 (en:table)
tanne	Tanne = fir	🎄 (de:tanne)
tannenbaum	Tannenbaum = fir tree	🌲 (de:tannenbaum)  🌳 (en:tree)  🌴 (en:tree)
tosen	tosen = brawl, roar	🫯 (en:brawl)  🦁 (en:roar)
tragsessel	Tragsessel = sedan chair, sedan	🪑 (en:chair)  💺 (en:chair)
träge	träge = sluggish, dawdling, logy	🦥 (de:träge)
träne	Träne = tear, tear drop, teardrop	🥲 (de:träne)  😢 (de:träne)  😿 (de:träne)
töchterchen	Töchterchen = little daughter	🤏 (en:little)  👧 (en:daughter)
türpfosten	Türpfosten = doorpost, door jamb	🚪 (en:door)
umkehren	umkehren = turn back, turn around	🛞 (en:turn)  🥹 (en:back)  🤚 (en:back)
umschauen	umschauen = look round	👀 (en:look)  📍 (en:round)
umwenden	umwenden = turn	🛞 (en:turn)
umwickeln	umwickeln = cover, jacket, sheathe sth.	📔 (en:cover)  🥼 (en:jacket)  🧥 (en:jacket)
unbequem	unbequem = uncomfortable, uncomfy	🫦 (en:uncomfortable)
unbeschädigt	unbeschädigt = intact, in one piece	🧩 (en:piece)
unerhört	unerhört = maddening, infuriating, exasperating	😡 (en:maddening)  😠 (en:maddening)
unversehrt	unversehrt = intact, in one piece	🧩 (en:piece)
verfließen	verfließen = pass, lapse, elapse	⛔ (en:pass)
verheimlichen	verheimlichen = cover sth. up	📔 (en:cover)
vermauern	vermauern = wall up, brick up, lay bricks	🧱 (en:wall)
verpacken	verpacken = wrap, wrap up	🌯 (en:wrap)
verrechnet	verrechnet = charged, charged/put to account, billed	🧢 (en:billed)
verstimmt	verstimmt = in a pique, in a fit of pique	😒 (de:verstimmt)
versunken	versunken = bogged down, got bogged down, got mired down	👌 (en:got)
verwunderung	Verwunderung = amazement, astonishment, great surprise	🫢 (en:amazement)  👏 (en:great)  🤭 (en:surprise)
verziehen	verziehen = warp	😬 (de:verziehen)
vorbeigehen	vorbeigehen = call in	😥 (en:call)  🤙 (en:call)  📲 (en:call)
vornehm	vornehm = noble-minded	🤵 (de:vornehm)  👠 (de:vornehm)
vorrücken	vorrücken = move up, be promoted	🏃 (en:move)  🏃‍♂ (en:move)  🏃‍♀ (en:move)
wegrollen	wegrollen = roll off, roll away	🥐 (en:roll)  🧻 (en:roll)
wegschmelzen	wegschmelzen = melt away	🫠 (en:melt)
weiblein	Weiblein = little (old) woman	🤏 (en:little)
weilchen	Weilchen = little while	🤏 (en:little)
weiterreisen	weiterreisen = travel on, continue your journey, proceed on your journey	🛄 (en:journey)
wiederkommen	wiederkommen = come back, return	🫴 (en:come)  🥹 (en:back)  🤚 (en:back)
windstoß	Windstoß = gust of wind, gust, windflaw	🍃 (en:wind)  🌬 (en:wind)  🎐 (en:wind)
wischen	wischen = clean, wipe, erase the blackboard	🧼 (en:clean)  🫧 (en:clean)  🪥 (en:clean)
wohltuend	wohltuend = pleasant, comfortable	👘 (en:comfortable)
wonne	Wonne = joy	🤣 (en:joy)  😂 (en:joy)  🥲 (en:joy)
wonnig	wonnig = adorable, delightful, lovely	🩷 (en:adorable)
währen	währen = last	🌗 (en:last)  🌜 (en:last)
würgen	würgen = strangle	🤢 (de:würgen)
würzig	würzig = aromatic, aromatical	🫚 (de:würzig)
ypsilon	Ypsilon = letter y, wye	💌 (en:letter)  ✉ (en:letter)  📧 (en:letter)
zuallererst	zuallererst = foremost, first and foremost, primarily	🌓 (en:first)  🌛 (en:first)  🥇 (en:first)
zufallen	zufallen = close, shut	😥 (en:close)  😓 (en:close)  🤐 (en:shut)
zuhinterst	zuhinterst = at the very back	🥹 (en:back)  🤚 (en:back)  🚪 (en:back)
zumachen	zumachen = seal sth., seal off sth.	🦭 (en:seal)
zurückbleiben	zurückbleiben = fall behind	🍂 (en:fall)  ⛅ (en:behind)  🌤 (en:behind)
zurückschauen	zurückschauen = look back, look behind	👀 (en:look)  🥹 (en:back)  🤚 (en:back)
zusammenbleiben	zusammenbleiben = stay together	🤲 (en:together)  💏 (en:together)  💑 (en:together)
zusammengebracht	zusammengebracht = brought together	🤲 (en:together)  💏 (en:together)  💑 (en:together)
zusammengedrückt	zusammengedrückt = compressed, pressed	🤌 (de:zusammengedrückt)
zusammenpassen	zusammenpassen = go (well) with sth., go (well) together	🧩 (de:zusammenpassen)  🤲 (en:together)  💏 (en:together)
zusammenrollen	zusammenrollen = roll up sth.	🥐 (en:roll)  🧻 (en:roll)
zusammensein	Zusammensein = get-together, being together	🤲 (en:together)  💏 (en:together)  💑 (en:together)
zusammensitzen	zusammensitzen = sit together	🪑 (en:sit)  🤲 (en:together)  💏 (en:together)
zuschicken	zuschicken = send	📩 (en:send)
zuschieben	zuschieben = push towards	🫷 (en:push)  🫸 (en:push)
zusetzen	zusetzen = bother sb., trouble sb., ail sb.	😵‍💫 (en:trouble)
ächzen	ächzen = groan	😮‍💨 (en:groan)
übergießen	übergießen = pour over	🫗 (en:pour)
überglücklich	überglücklich = happy as a sandboy / Larry / a clam / a pig in muck/shit	🐖 (en:pig)  🐷 (en:pig)  🐗 (en:pig)
überlaut	überlaut = too loud, too noisy, stentorian	🔊 (en:loud)  📢 (en:loud)
übermütig	übermütig = high-spirited, in high spirits	✋ (en:high)  🫷 (en:high)  🫸 (en:high)
